	run	trialNum	decrementStart	decrementStop	responseStop	contrast
0	1.0	0.0	1446.0	1946.0	2946.0	0.65
1	1.0	0.0	4398.0	4898.0	5898.0	0.65
2	1.0	0.0	7254.0	7754.0	8754.0	0.65
3	1.0	0.0	9719.0	10219.0	11219.0	0.65
4	1.0	1.0	7399.0	7899.0	8899.0	0.65
5	1.0	1.0	9650.0	10150.0	11150.0	0.65
6	1.0	2.0	7253.0	7753.0	8753.0	0.65
7	1.0	3.0	1447.0	1947.0	2947.0	0.65
8	1.0	4.0	4134.0	4634.0	5634.0	0.65
9	1.0	4.0	7167.0	7667.0	8667.0	0.65
10	1.0	5.0	4742.0	5242.0	6242.0	0.65
11	1.0	6.0	4106.0	4606.0	5606.0	0.65
12	1.0	7.0	1869.0	2369.0	3369.0	0.65
13	1.0	7.0	4449.0	4949.0	5949.0	0.65
14	1.0	7.0	9760.0	10260.0	11260.0	0.65
15	1.0	8.0	4414.0	4914.0	5914.0	0.65
16	1.0	9.0	1020.0	1520.0	2520.0	0.65
17	1.0	10.0	1689.0	2189.0	3189.0	0.65
18	1.0	10.0	4300.0	4800.0	5800.0	0.65
19	1.0	10.0	7359.0	7859.0	8859.0	0.65
20	1.0	10.0	10053.0	10553.0	11553.0	0.65
21	1.0	11.0	9983.0	10483.0	11483.0	0.65
22	1.0	12.0	1483.0	1983.0	2983.0	0.65
23	1.0	12.0	4217.0	4717.0	5717.0	0.65
24	1.0	12.0	7181.0	7681.0	8681.0	0.65
25	1.0	12.0	9894.0	10394.0	11394.0	0.65
26	1.0	13.0	1872.0	2372.0	3372.0	0.65
27	1.0	13.0	4032.0	4532.0	5532.0	0.65
28	1.0	13.0	6822.0	7322.0	8322.0	0.65
29	1.0	13.0	10222.0	10722.0	11722.0	0.65
30	1.0	14.0	1446.0	1946.0	2946.0	0.65
31	1.0	14.0	3974.0	4474.0	5474.0	0.65
32	1.0	14.0	6792.0	7292.0	8292.0	0.65
33	1.0	14.0	10459.0	10959.0	11959.0	0.65
34	1.0	15.0	1264.0	1764.0	2764.0	0.65
35	1.0	15.0	4748.0	5248.0	6248.0	0.65
36	1.0	15.0	7203.0	7703.0	8703.0	0.65
0	2.0	0.0	1407.0	1907.0	2907.0	0.65
1	2.0	0.0	7299.0	7799.0	8799.0	0.65
2	2.0	0.0	10491.0	10991.0	11991.0	0.65
3	2.0	1.0	1049.0	1549.0	2549.0	0.65
4	2.0	1.0	4299.0	4799.0	5799.0	0.65
5	2.0	1.0	7528.0	8028.0	9028.0	0.65
6	2.0	1.0	9632.0	10132.0	11132.0	0.65
7	2.0	2.0	9841.0	10341.0	11341.0	0.65
8	2.0	3.0	1590.0	2090.0	3090.0	0.65
9	2.0	3.0	4311.0	4811.0	5811.0	0.65
10	2.0	3.0	6919.0	7419.0	8419.0	0.65
11	2.0	3.0	10359.0	10859.0	11859.0	0.65
12	2.0	4.0	1242.0	1742.0	2742.0	0.65
13	2.0	4.0	6796.0	7296.0	8296.0	0.65
14	2.0	4.0	10028.0	10528.0	11528.0	0.65
15	2.0	5.0	1623.0	2123.0	3123.0	0.65
16	2.0	5.0	3931.0	4431.0	5431.0	0.65
17	2.0	5.0	6759.0	7259.0	8259.0	0.65
18	2.0	5.0	10114.0	10614.0	11614.0	0.65
19	2.0	6.0	1402.0	1902.0	2902.0	0.65
20	2.0	6.0	4138.0	4638.0	5638.0	0.65
21	2.0	6.0	6918.0	7418.0	8418.0	0.65
22	2.0	6.0	9789.0	10289.0	11289.0	0.65
23	2.0	7.0	4179.0	4679.0	5679.0	0.65
24	2.0	7.0	7571.0	8071.0	9071.0	0.65
25	2.0	7.0	10488.0	10988.0	11988.0	0.65
26	2.0	8.0	4393.0	4893.0	5893.0	0.65
27	2.0	8.0	7415.0	7915.0	8915.0	0.65
28	2.0	8.0	10342.0	10842.0	11842.0	0.65
29	2.0	9.0	1706.0	2206.0	3206.0	0.65
30	2.0	10.0	7435.0	7935.0	8935.0	0.65
31	2.0	11.0	1478.0	1978.0	2978.0	0.65
32	2.0	12.0	4557.0	5057.0	6057.0	0.65
33	2.0	12.0	7121.0	7621.0	8621.0	0.65
34	2.0	12.0	9952.0	10452.0	11452.0	0.65
35	2.0	13.0	4698.0	5198.0	6198.0	0.65
36	2.0	13.0	7132.0	7632.0	8632.0	0.65
37	2.0	13.0	9775.0	10275.0	11275.0	0.65
38	2.0	14.0	1704.0	2204.0	3204.0	0.65
39	2.0	14.0	9690.0	10190.0	11190.0	0.65
40	2.0	15.0	1344.0	1844.0	2844.0	0.65
41	2.0	15.0	7270.0	7770.0	8770.0	0.65
42	2.0	15.0	10209.0	10709.0	11709.0	0.65
0	3.0	0.0	1852.0	2352.0	3352.0	0.65
1	3.0	0.0	4527.0	5027.0	6027.0	0.65
2	3.0	0.0	7087.0	7587.0	8587.0	0.65
3	3.0	1.0	7467.0	7967.0	8967.0	0.65
4	3.0	2.0	1096.0	1596.0	2596.0	0.65
5	3.0	2.0	4163.0	4663.0	5663.0	0.65
6	3.0	3.0	1824.0	2324.0	3324.0	0.65
7	3.0	3.0	4059.0	4559.0	5559.0	0.65
8	3.0	3.0	7204.0	7704.0	8704.0	0.65
9	3.0	3.0	10080.0	10580.0	11580.0	0.65
10	3.0	4.0	4708.0	5208.0	6208.0	0.65
11	3.0	4.0	7208.0	7708.0	8708.0	0.65
12	3.0	5.0	4106.0	4606.0	5606.0	0.65
13	3.0	5.0	7214.0	7714.0	8714.0	0.65
14	3.0	6.0	1676.0	2176.0	3176.0	0.65
15	3.0	6.0	3953.0	4453.0	5453.0	0.65
16	3.0	6.0	6970.0	7470.0	8470.0	0.65
17	3.0	6.0	9827.0	10327.0	11327.0	0.65
18	3.0	7.0	4039.0	4539.0	5539.0	0.65
19	3.0	8.0	1726.0	2226.0	3226.0	0.65
20	3.0	8.0	4288.0	4788.0	5788.0	0.65
21	3.0	8.0	7006.0	7506.0	8506.0	0.65
22	3.0	8.0	9874.0	10374.0	11374.0	0.65
23	3.0	9.0	4004.0	4504.0	5504.0	0.65
24	3.0	9.0	7067.0	7567.0	8567.0	0.65
25	3.0	10.0	1343.0	1843.0	2843.0	0.65
26	3.0	11.0	4688.0	5188.0	6188.0	0.65
27	3.0	11.0	7344.0	7844.0	8844.0	0.65
28	3.0	11.0	10216.0	10716.0	11716.0	0.65
29	3.0	12.0	1396.0	1896.0	2896.0	0.65
30	3.0	12.0	4738.0	5238.0	6238.0	0.65
31	3.0	12.0	6764.0	7264.0	8264.0	0.65
32	3.0	13.0	1201.0	1701.0	2701.0	0.65
33	3.0	14.0	4457.0	4957.0	5957.0	0.65
34	3.0	14.0	6906.0	7406.0	8406.0	0.65
35	3.0	14.0	10287.0	10787.0	11787.0	0.65
36	3.0	15.0	6961.0	7461.0	8461.0	0.65
37	3.0	15.0	10180.0	10680.0	11680.0	0.65
